"title","star","url","cover","info","oneSentenceComment"
"少年派的奇幻漂流 / Life of Pi","9.0","https://movie.douban.com/subject/1929463/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg","导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...\n                            2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险","瑰丽壮观、无人能及的冒险之旅。"
"天堂电影院 / Nuovo Cinema Paradiso","9.2","https://movie.douban.com/subject/1291828/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg","导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东内拉·阿蒂利 Anton...\n                            1988 / 意大利 法国 / 剧情 爱情","那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。"
"控方证人 / Witness for the Prosecution","9.6","https://movie.douban.com/subject/1296141/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg","导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...\n                            1957 / 美国 / 剧情 犯罪 悬疑","比利·怀德满分作品。"
"鬼子来了","9.2","https://movie.douban.com/subject/1291858/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg","导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...\n                            2000 / 中国大陆 / 剧情 历史 战争","对敌人的仁慈，就是对自己残忍。"
"十二怒汉 / 12 Angry Men","9.4","https://movie.douban.com/subject/1293182/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg","导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...\n                            1957 / 美国 / 剧情","1957年的理想主义。"
"指环王3：王者无敌 / The Lord of the Rings: The Return of the King","9.1","https://movie.douban.com/subject/1291552/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg","导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...\n                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险","史诗的终章。"
"天空之城 / 天空の城ラピュタ","9.1","https://movie.douban.com/subject/1291583/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg","导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...\n                            1986 / 日本 / 动画 奇幻 冒险","对天空的追逐，永不停止。"
"摔跤吧！爸爸 / Dangal","9.0","https://movie.douban.com/subject/26387939/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg","导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...\n                            2016 / 印度 / 剧情 传记 运动 家庭","你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。"
"飞屋环游记 / Up","8.9","https://movie.douban.com/subject/2129039/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2364094053.jpg","导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...\n                            2009 / 美国 / 剧情 喜剧 动画 冒险","最后那些最无聊的事情，才是最值得怀念的。"
"大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒","8.9","https://movie.douban.com/subject/1299398/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg","导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...\n                            1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 古装","旷古烁今。"
"搏击俱乐部 / Fight Club","9.0","https://movie.douban.com/subject/1292000/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg","导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...\n                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚","邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。"
"罗马假日 / Roman Holiday","9.0","https://movie.douban.com/subject/1293839/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg","导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...\n                            1953 / 美国 / 喜剧 剧情 爱情","爱情哪怕只有一天。"
